name,X,Y,Z,x,y,luminance,kind,r_code,g_code,b_code,timestamp
0/0/0,0,0,0,0,0,0,black,64,64,64,1784317608
5/5/5,0.122268,0.128422,0.136533,0.315757,0.331648,0.128422,node,108,108,108,1784317624
5/0/0,0.065788,0.033079,8.3e-05,0.664862,0.334303,0.033079,node,108,64,64,1784317640
0/5/0,0.038632,0.091385,0.011496,0.272994,0.645773,0.091385,node,64,108,64,1784317659
0/0/5,0.023087,0.011139,0.1113,0.158644,0.076545,0.011139,node,64,64,108,1784317675
10/10/10,0.643032,0.677529,0.72766,0.313947,0.330789,0.677529,node,152,152,152,1784317691
10/0/0,0.364938,0.178397,0.005907,0.66444,0.324806,0.178397,node,152,64,64,1784317723
0/10/0,0.190358,0.48369,0.03505,0.26845,0.682121,0.48369,node,64,152,64,1784317739
0/0/10,0.134602,0.060242,0.712561,0.148337,0.06639,0.060242,node,64,64,152,1784317756
20/20/20,3.414834,3.593176,3.885954,0.313461,0.329832,3.593176,node,239,239,239,1784317768
20/0/0,1.770587,0.843752,0.009097,0.674912,0.321621,0.843752,node,239,64,64,1784317785
0/20/0,0.959306,2.440101,0.175075,0.268376,0.682645,2.440101,node,64,239,64,1784317850
0/0/20,0.733884,0.305147,4.001672,0.145592,0.060537,0.305147,node,64,64,239,1784317865
30/30/30,9.098689,9.569381,10.385242,0.313172,0.329373,9.569381,node,327,327,327,1784317876
30/0/0,4.456934,2.112111,0.017019,0.676722,0.320694,2.112111,node,327,64,64,1784317893
0/30/0,2.671182,6.791845,0.494898,0.268247,0.682054,6.791845,node,64,327,64,1784317909
0/0/30,1.890682,0.761539,10.38341,0.14504,0.05842,0.761539,node,64,64,327,1784317925
40/40/40,17.973034,18.900376,20.472111,0.313417,0.329588,18.900376,node,414,414,414,1784317936
40/0/0,8.986734,4.246385,0.028924,0.677628,0.320191,4.246385,node,414,64,64,1784317952
0/40/0,5.154022,13.118138,0.971436,0.26783,0.681689,13.118138,node,64,414,64,1784317969
0/0/40,3.608533,1.426542,19.884046,0.14481,0.057247,1.426542,node,64,64,414,1784317984
50/50/50,30.552542,32.174881,34.839707,0.313144,0.329772,32.174881,node,502,502,502,1784317994
50/0/0,14.848972,7.00541,0.044992,0.678055,0.319891,7.00541,node,502,64,64,1784318011
0/50/0,8.623769,21.985149,1.652341,0.26731,0.681472,21.985149,node,64,502,64,1784318027
0/0/50,5.991448,2.338507,33.082986,0.144676,0.056468,2.338507,node,64,64,502,1784318088
60/60/60,48.755444,51.298221,55.58982,0.313251,0.329588,51.298221,node,590,590,590,1784318098
60/0/0,23.708164,11.172742,0.069266,0.678342,0.319676,11.172742,node,590,64,64,1784318114
0/60/0,14.067368,35.927651,2.739045,0.266761,0.681299,35.927651,node,64,590,64,1784318128
0/0/60,9.639477,3.718237,53.32575,0.144556,0.05576,3.718237,node,64,64,590,1784318139
70/70/70,69.016261,72.730577,78.676664,0.313108,0.329958,72.730577,node,677,677,677,1784318150
70/0/0,33.855979,15.944698,0.096545,0.678514,0.319551,15.944698,node,677,64,64,1784318167
0/70/0,20.087284,51.438818,3.968355,0.266076,0.681359,51.438818,node,64,677,64,1784318179
0/0/70,13.636381,5.216181,75.523838,0.144489,0.05527,5.216181,node,64,64,677,1784318192
80/80/80,95.264752,100.30273,108.594995,0.313203,0.329767,100.30273,node,765,765,765,1784318203
80/0/0,46.927622,22.090463,0.131903,0.678635,0.319457,22.090463,node,765,64,64,1784318219
0/80/0,27.235022,69.879757,5.449049,0.265542,0.681329,69.879757,node,64,765,64,1784318231
0/0/80,18.725376,7.114102,103.823019,0.144416,0.054866,7.114102,node,64,64,765,1784318241
90/90/90,126.347711,133.031288,144.054429,0.313181,0.329748,133.031288,node,852,852,852,1784318251
90/0/0,62.18976,29.266698,0.173206,0.678708,0.319402,29.266698,node,852,64,64,1784318269
0/90/0,35.975613,92.515126,7.283083,0.264967,0.681391,92.515126,node,64,852,64,1784318328
0/0/90,24.746958,9.349111,137.325815,0.144363,0.054539,9.349111,node,64,64,852,1784318338
100/100/100,165.538184,174.378609,188.93259,0.313016,0.329732,174.378609,white,940,940,940,1784318348
100/0/0,82.12766,38.642131,0.227678,0.678755,0.319363,38.642131,red,940,64,64,1784318365
0/100/0,47.68037,122.883021,9.774156,0.264395,0.681406,122.883021,green,64,940,64,1784318376
0/0/100,32.710484,12.296766,181.69562,0.144288,0.054242,12.296766,blue,64,64,940,1784318387
50/100/50,69.328105,132.375131,42.636332,0.283737,0.541767,132.375131,node,502,940,502,1784318397
0/50/100,41.202867,34.290108,182.413036,0.159759,0.132956,34.290108,node,64,502,940,1784318408
100/50/0,91.132627,60.728396,1.870584,0.592803,0.395029,60.728396,node,940,502,64,1784318423
50/0/50,20.965355,9.404345,32.937622,0.331168,0.148551,9.404345,node,502,64,502,1784318434
50/100/0,61.94983,129.072917,9.762765,0.308537,0.64284,129.072917,node,502,940,64,1784318445
0/50/50,14.912316,24.759126,35.245813,0.19905,0.330486,24.759126,node,64,502,502,1784318455
100/0/100,113.586643,50.399849,177.692049,0.332437,0.147507,50.399849,node,940,64,940,1784318466
100/100/50,135.455912,162.012823,41.394942,0.399736,0.478106,162.012823,node,940,940,502,1784318477
50/50/100,57.472285,42.591314,184.453257,0.202,0.149697,42.591314,node,502,502,940,1784318487
100/0/50,88.024143,40.937037,32.295714,0.545863,0.253862,40.937037,node,940,64,502,1784318498
0/100/100,79.707136,134.353981,189.226444,0.197643,0.333147,134.353981,node,64,940,940,1784318558
100/100/0,128.424364,159.346978,9.833345,0.431527,0.535432,159.346978,node,940,940,64,1784318571
0/100/50,53.6938,125.618522,41.894937,0.242731,0.567877,125.618522,node,64,940,502,1784318582
100/50/100,123.718572,73.240872,181.204105,0.327156,0.193675,73.240872,node,940,502,940,1784318594
50/50/0,23.90091,29.503687,1.724026,0.433548,0.535179,29.503687,node,502,502,64,1784318609
50/100/100,95.520987,142.283002,189.246058,0.223676,0.333176,142.283002,node,502,940,940,1784318619
100/50/50,98.242433,63.9264,34.936739,0.498425,0.324326,63.9264,node,940,502,502,1784318630
50/0/100,47.465854,19.24583,181.302068,0.191384,0.0776,19.24583,node,502,64,940,1784318640
